backend,task,accuracy,latency_ms,tokens,confidence,staleness
faiss,factual_recall,0.463,0.31,0,0.621,0.0
faiss,temporal_ordering,0.381,0.28,0,0.584,0.0
sqlite,factual_recall,0.491,0.52,0,0.643,0.0
sqlite,temporal_ordering,0.356,0.47,0,0.601,0.0
